Pregunta,Respuesta
Hola, ¿cómo puedo ayudarte hoy?,"Hola, ¿en qué puedo ayudarte hoy?"
¿Que servicios ofrecen?,"Ofrecemos un servicio de predicción de resultados deportivos"
¿Quiénes somos?,"Somos una empresa 100% Mexicana apasionada por el deporte y los resultados deportivos (Football)."
¿Para qué iniciamos Reto97?,"Con la finalidad de que más personas como tú, apasionadas por el fútbol y que siempre llevan la pasión y el reto a un escalón más allá, puedan predecir los resultados de cada encuentro."
¿Qué es Reto97?,"Reto97: 9 partidos, 7 días, un solo ganador."
¿En qué consiste el desafío semanal?,"El desafío semanal que solo tú puedes ganar."
¿Por qué elegir Reto97?,"Porque somos una empresa 100% Mexicana apasionada por el deporte y los resultados deportivos (Football)."
¿Dónde puedo encontrar más información?,"Puedes visitar nuestro sitio web o seguirnos en nuestras redes sociales para más información."
¿Cómo puedo participar en Reto97?,"Para participar, simplemente regístrate en nuestra plataforma y comienza a predecir los resultados de los partidos."
¿Hay algún costo para participar?,"No, participar en Reto97 es completamente gratis."
¿Puedo jugar desde cualquier lugar?,"Sí, puedes jugar desde cualquier lugar con acceso a internet."
¿Por que debo registrarme?,"La ventaja de tener un registro con nosotros son: Tus boletos se guardan y cuando inicias sesion se siguen viendo y puedes darle seguimiento partido a partido."
¿Como participo sin registro?,"Llenas tu quiniela. Después le das a agregar. Por último, Participar sin registro, el cual genera un número de boleto para que puedas consultar el estatus del boleto. Es importante que al enviar la quiniela inmediatamente se envíe la captura del comprobante de pago para poder ingresar tu quiniela al sistema."
¿Que metodos de pago aceptan?,"Aceptamos transferencias bancarias de cualquier banco."
¿Que pasa si deposito despues del cierre de la quiniela?,"Si mandaste tu quiniela y tu comprobante de pago antes de que se inicie el primer partido tu quiniela todavía participa. Si el pago se realizó después del inicio del primer partido ya no participa, tu boleto en automático se cancela por el sistema y deberás ponerte en contacto con la administración para tu reembolso o lo puedes mantener para jugar una próxima quiniela con el mismo valor del monto del depósito."
¿Si gano cuando se me deposita?,"El equipo debe cotejar los resultados para no cometer un error. Si el cotejo es rápido el depósito del pago se verá reflejado en un lapso no mayor a 24 horas."
¿Cuales son las reglas de la Quiniela Reto97?,"Las tres casillas son las siguientes y se consideran las abreviaturas L, E, V."
¿Qué significa L en la Quiniela?,"Local (L): Ganará el equipo local."
¿Qué significa E en la Quiniela?,"Empate (E): Los equipos igualan en el marcador."
¿Qué significa V en la Quiniela?,"Visita (V): Ganará el equipo visitante."
¿Qué tipos de combinaciones existen en la Quiniela Reto97?,"Sencilla: Se marca una opción por partido (L, E o V). Con dobles: Marcar 2 opciones por partido (máximo 5 dobles). Con triples: Marcar las 3 opciones por partido (máximo 4 triples)."
¿Qué es una combinación sencilla?,"Se marca una opción por partido (L, E o V)."
¿Qué es una combinación con dobles?,"Se marcan 2 opciones por partido (máximo 5 dobles)."
¿Qué es una combinación con triples?,"Se marcan las 3 opciones por partido (máximo 4 triples)."
¿Cómo se calcula el costo de las quinielas múltiples?,"El costo se calcula según la cantidad de quinielas sencillas incluidas en la combinación."
¿Cómo se gana el primer lugar en la premiación?,"Para optar al primer lugar con bolsa acumulada, debes acertar todos los resultados. Si nadie lo logra, gana quien tenga más aciertos."
¿Cómo se gana el segundo lugar en la premiación?,"Para el segundo lugar, debes tener la mayor cantidad de aciertos por debajo del primer lugar."
¿Qué sucede si hay empate en la premiación?,"Si hay empate en el primer o segundo lugar, el premio se acumula y suma al total a repartir."
¿En qué porcentaje se reparte la premiación?,"El 70% del total recaudado se reparte entre los ganadores."
¿Qué porcentaje se otorga a los primeros lugares?,"El 45% del total recaudado se otorga a los primeros lugares."
¿Qué porcentaje se otorga a los segundos lugares?,"El 25% del total recaudado se otorga a los segundos lugares."
¿Para qué se utiliza el 30% restante del total recaudado?,"El 30% restante se usa para cubrir costos operativos y del equipo."
¿Para que es utilizado el nombre en el registro o en mi perfil?,"Es el nombre que aparece en el archivo Excel donde se muestran los boletos que están participando."
¿Por qué me solicitan mi numero de telefono en el registro o en mi perfil?,"Este dato nos sirve para ponernos en contacto con la persona ganadora y acordar el medio del pago en caso de que resulte ganador en alguno de nuestros sorteos. Este dato es meramente opcional en el registro y en tu perfil."
